date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:28:46	90322/90322	---MCZ	200	added ('OK')	text/html	etag:W/%2260c5f024-160d2%22	https://vetra.laborasyon.com/demos/default/index.html	H:/ecom/vetra.laborasyon.com/demos/default/index.html	(from )
23:28:47	245/245	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2014%20Jun%202022%2017:28:46%20GMT	https://vetra.laborasyon.com/robots.txt		(from )
23:28:48	1233/1233	---M--	200	added ('OK')	image/png	etag:%2260c4dcc8-4d1%22	https://vetra.laborasyon.com/assets/images/favicon.png	H:/ecom/vetra.laborasyon.com/assets/images/favicon.png	(from https://vetra.laborasyon.com/demos/default/index.html)
23:28:49	55640/55640	---MCZ	200	added ('OK')	text/css	etag:W/%2260561898-d958%22	https://vetra.laborasyon.com/dist/icons/bootstrap-icons-1.4.0/bootstrap-icons.min.css	H:/ecom/vetra.laborasyon.com/dist/icons/bootstrap-icons-1.4.0/bootstrap-icons.min.css	(from https://vetra.laborasyon.com/demos/default/index.html)
23:28:49	30048/30048	---MCZ	200	added ('OK')	text/css	etag:W/%2260c72a52-7560%22	https://vetra.laborasyon.com/dist/css/bootstrap-docs.css	H:/ecom/vetra.laborasyon.com/dist/css/bootstrap-docs.css	(from https://vetra.laborasyon.com/demos/default/index.html)
23:28:50	1776/1776	---MCZ	200	added ('OK')	text/css	etag:W/%2259d34108-6f0%22	https://vetra.laborasyon.com/libs/slick/slick.css	H:/ecom/vetra.laborasyon.com/libs/slick/slick.css	(from https://vetra.laborasyon.com/demos/default/index.html)
23:28:51	5164/5164	---M--	200	added ('OK')	image/jpeg	etag:%22604fe2c4-142c%22	https://vetra.laborasyon.com/assets/images/user/man_avatar3.jpg	H:/ecom/vetra.laborasyon.com/assets/images/user/man_avatar3.jpg	(from https://vetra.laborasyon.com/demos/default/index.html)
23:28:51	270608/270608	---MCZ	200	added ('OK')	text/css	etag:W/%2260c72a52-42110%22	https://vetra.laborasyon.com/dist/css/app.min.css	H:/ecom/vetra.laborasyon.com/dist/css/app.min.css	(from https://vetra.laborasyon.com/demos/default/index.html)
23:28:51	4794/4794	---MCZ	200	added ('OK')	text/html	etag:W/%2260c5f028-12ba%22	https://vetra.laborasyon.com/demos/default/login.html	H:/ecom/vetra.laborasyon.com/demos/default/login.html	(from https://vetra.laborasyon.com/demos/default/index.html)
23:28:52	71520/71520	---MCZ	200	added ('OK')	text/html	etag:W/%2260c4f698-11760%22	https://vetra.laborasyon.com/demos/default/orders.html	H:/ecom/vetra.laborasyon.com/demos/default/orders.html	(from https://vetra.laborasyon.com/demos/default/index.html)
23:28:52	62725/62725	---MCZ	200	added ('OK')	text/html	etag:W/%2260c4f698-f505%22	https://vetra.laborasyon.com/demos/default/order-detail.html	H:/ecom/vetra.laborasyon.com/demos/default/order-detail.html	(from https://vetra.laborasyon.com/demos/default/index.html)
23:28:53	82960/82960	---MCZ	200	added ('OK')	text/html	etag:W/%2260c4f698-14410%22	https://vetra.laborasyon.com/demos/default/product-list.html	H:/ecom/vetra.laborasyon.com/demos/default/product-list.html	(from https://vetra.laborasyon.com/demos/default/index.html)
23:28:54	72416/72416	---MCZ	200	added ('OK')	text/html	etag:W/%2260c4f698-11ae0%22	https://vetra.laborasyon.com/demos/default/product-grid.html	H:/ecom/vetra.laborasyon.com/demos/default/product-grid.html	(from https://vetra.laborasyon.com/demos/default/index.html)
23:28:54	76853/76853	---MCZ	200	added ('OK')	text/html	etag:W/%2260c4f698-12c35%22	https://vetra.laborasyon.com/demos/default/product-detail.html	H:/ecom/vetra.laborasyon.com/demos/default/product-detail.html	(from https://vetra.laborasyon.com/demos/default/index.html)
23:28:55	61733/61733	---MCZ	200	added ('OK')	text/html	etag:W/%2260c4f698-f125%22	https://vetra.laborasyon.com/demos/default/shopping-cart.html	H:/ecom/vetra.laborasyon.com/demos/default/shopping-cart.html	(from https://vetra.laborasyon.com/demos/default/index.html)
23:28:55	73085/73085	---MCZ	200	added ('OK')	text/html	etag:W/%2260c5f026-11d7d%22	https://vetra.laborasyon.com/demos/default/checkout.html	H:/ecom/vetra.laborasyon.com/demos/default/checkout.html	(from https://vetra.laborasyon.com/demos/default/index.html)
23:28:56	60844/60844	---MCZ	200	added ('OK')	text/html	etag:W/%2260c5f028-edac%22	https://vetra.laborasyon.com/demos/default/buyer-dashboard.html	H:/ecom/vetra.laborasyon.com/demos/default/buyer-dashboard.html	(from https://vetra.laborasyon.com/demos/default/index.html)
23:28:56	69771/69771	---MCZ	200	added ('OK')	text/html	etag:W/%2260c5f02a-1108b%22	https://vetra.laborasyon.com/demos/default/buyer-orders.html	H:/ecom/vetra.laborasyon.com/demos/default/buyer-orders.html	(from https://vetra.laborasyon.com/demos/default/index.html)
23:28:57	59929/59929	---MCZ	200	added ('OK')	text/html	etag:W/%2260c5f02a-ea19%22	https://vetra.laborasyon.com/demos/default/buyer-addresses.html	H:/ecom/vetra.laborasyon.com/demos/default/buyer-addresses.html	(from https://vetra.laborasyon.com/demos/default/index.html)
23:28:58	61425/61425	---MCZ	200	added ('OK')	text/html	etag:W/%2260c5f02a-eff1%22	https://vetra.laborasyon.com/demos/default/buyer-wishlist.html	H:/ecom/vetra.laborasyon.com/demos/default/buyer-wishlist.html	(from https://vetra.laborasyon.com/demos/default/index.html)
23:28:58	76792/76792	---MCZ	200	added ('OK')	text/html	etag:W/%2260c5f026-12bf8%22	https://vetra.laborasyon.com/demos/default/customers.html	H:/ecom/vetra.laborasyon.com/demos/default/customers.html	(from https://vetra.laborasyon.com/demos/default/index.html)
23:28:59	72174/72174	---MCZ	200	added ('OK')	text/html	etag:W/%2260c5f026-119ee%22	https://vetra.laborasyon.com/demos/default/invoices.html	H:/ecom/vetra.laborasyon.com/demos/default/invoices.html	(from https://vetra.laborasyon.com/demos/default/index.html)
23:28:59	58200/58200	---MCZ	200	added ('OK')	text/html	etag:W/%2260c5f026-e358%22	https://vetra.laborasyon.com/demos/default/invoice-detail.html	H:/ecom/vetra.laborasyon.com/demos/default/invoice-detail.html	(from https://vetra.laborasyon.com/demos/default/index.html)
23:29:00	96034/96034	---MCZ	200	added ('OK')	text/html	etag:W/%2260c5f026-17722%22	https://vetra.laborasyon.com/demos/default/chats.html	H:/ecom/vetra.laborasyon.com/demos/default/chats.html	(from https://vetra.laborasyon.com/demos/default/index.html)
23:29:00	86846/86846	---MCZ	200	added ('OK')	text/html	etag:W/%2260c5f026-1533e%22	https://vetra.laborasyon.com/demos/default/email.html	H:/ecom/vetra.laborasyon.com/demos/default/email.html	(from https://vetra.laborasyon.com/demos/default/index.html)
